,Accuracy(%),Duration(s),Dense 1,Activation 1,Dense 2,Activation 2
23,64.5,16.778,200,relu,200,sigmoid
22,64.2,16.57,200,relu,200,relu
20,63.9,14.951,200,relu,100,sigmoid
2,63.800000000000004,9.039,100,relu,100,sigmoid
5,63.800000000000004,9.365,100,relu,200,sigmoid
6,63.3,9.966,100,relu,200,tanh
1,63.1,9.306,100,relu,100,relu
4,63.0,9.323,100,relu,200,relu
19,62.9,14.612,200,relu,100,relu
3,62.2,9.12,100,relu,100,tanh
27,61.3,15.878,200,sigmoid,100,tanh
10,61.1,10.733,100,sigmoid,200,relu
29,60.9,16.71,200,sigmoid,200,sigmoid
26,60.9,16.188,200,sigmoid,100,sigmoid
24,60.9,16.283,200,relu,200,tanh
21,60.9,15.814,200,relu,100,tanh
28,60.8,16.471,200,sigmoid,200,relu
25,60.6,16.389,200,sigmoid,100,relu
8,60.6,9.465,100,sigmoid,100,sigmoid
9,60.5,9.947,100,sigmoid,100,tanh
7,60.0,9.391,100,sigmoid,100,relu
11,59.9,9.956,100,sigmoid,200,sigmoid
36,59.8,18.134,200,tanh,200,tanh
12,59.699999999999996,10.661,100,sigmoid,200,tanh
30,59.5,16.614,200,sigmoid,200,tanh
32,59.4,15.356,200,tanh,100,sigmoid
16,59.3,10.135,100,tanh,200,relu
31,59.3,15.991,200,tanh,100,relu
15,59.199999999999996,9.216,100,tanh,100,tanh
34,59.199999999999996,18.566,200,tanh,200,relu
17,58.9,9.256,100,tanh,200,sigmoid
14,58.599999999999994,9.188,100,tanh,100,sigmoid
33,58.4,14.963,200,tanh,100,tanh
13,58.3,9.204,100,tanh,100,relu
35,58.099999999999994,18.186,200,tanh,200,sigmoid
18,57.599999999999994,9.39,100,tanh,200,tanh
